recipeid,name,description,method,imageurl,creator
11,Iced Latte,Refreshing cold beverage with coffee and milk. Perfect to start your mornings during the hot weather,Place a shot of espresso into a cup | Add in your ice | Pour cold milk over top and enjoy,,
12,Iced Chocolate,"Sweet cold drink perfect for those that aren't a big fan of caffeine. ",Place chocolate syrup into the cup | Ddd in your ice | Pour cold milk of choice over the top and enjoy,,
13,Iced Mocha,A sweet cold drink with a hit of caffein. A nice drink for those that find coffee too bitter.,Place a shot of espresso into a cup | Add in chocolate syrup of choice and mix with espresso | Add your ice | Pour over cold milk of choice and enjoy,,
14,Gin and Tonic,Refreshing alcoholic beverage. Sweet and botanical in nature. Known to be served with a lime wedge as a garnish but can be swapped out for any garnish of choice. Tonic water may be swapped out for soda if preferred,Add ice into your glass of choice | Pour in gin of choice | Top off with tonic water of your choice | Garnish with a lime wedge,,
15,Cuba Libre,"Also know as a rum and coke, a well known drink that is popular across the world. Sweetness of the rum blend perfectly with the coke and creates a beautiful sweet and refreshing beverage.",Add ice into glass of choice | Pour in white rum | Pour in the lime juice | Top off with coca cola | Garnish with a lime wedge and serve,,
16,Tequila Sunrise,badda badda badda badda tequila!,Add ice to your glass | Pour in your tequila of choice | Fill the rest with orange juice | Gently pour the grenadine down the side of the glass to get that gradient effect and enjoy,,
17,Godfather,"The Godfather cocktail is a simple Scotch and amaretto drink that’s full of flavor! It pairs nutty sweetness with a spicy whiskey finish. With just two ingredients, it balances the nutty sweetness of amaretto with the spicy finish of whiskey. The hint of amaretto gives the Scotch a unique intrigue that makes it more palatable than drinking straight up. The perfect intro-to-Scotch cocktail.",Add ice to glass of choice | Pour in your choice of scotch whisky | Pour in the Amaretto and enjoy,,
18,Black Russian,"The Black Russian is a simple, two-part cocktail combining vodka and Kahlúa, a coffee liqueur that’s made with rum, sugar and arabica coffee. The drink was created in the late 1940s by bartender Gustave Tops at the Hotel Metropole in Brussels.",Add ice to glass of your choice | Pour in choice of vodka | Pour in coffee liqueur and enjoy,,
19,White Russian,"The White Russian is a decadent and surprisingly easy-to-make cocktail. Combining vodka, Kahlúa and cream and serving it on the rocks creates a delicious alternative to adult milkshakes.",Add ice to glass of your choice | Pour in choice of vodka | Pour in coffee liqueur | Top with cold milk and enjoy,,
20,Moscow Mule,"The Moscow Mule is a classic vodka-based cocktail that is popular for good reason: It’s delicious, refreshing and a snap to make. Just speaking the name of the drink conjures images of the ice-cold copper mug that is the de rigueur vessel for the Moscow Mule.",Add ice to a mule mug | Pour in choice of vodka | Pour in lime juice | Top with ginger beer | Garnish with a lime wedge and enjoy,,
21,Sex on the Beach,"The Sex on the Beach is very easy to make, so you might try mixing one for your next cocktail party. Fresh orange juice will add bright acidity and produce a fresher tasting drink. Some people prefer to sub pineapple juice for the OJ, but orange will keep the cocktail classic. Any solid vodka will do, as it provides a mostly neutral base that lets the peach liqueur and fruit juices take center stage. Merge your ingredients, take a sip, and transport yourself to the beach one cocktail at a time.","Add ice to glass | Pour in vodka, peach liqueur | Pour in Cranberry juice and Orange Juice and enjoy",,
22,Cosmopolitan,"The Cosmo was a product of its time. In the late-1980s and early-’90s, vodka was king, but flavored vodka was just finding an audience. When Absolut released its first flavored vodka, the lemony Citron, bartenders had a new toy to work with. Cecchini used it in the Cosmo alongside Ocean Spray, and the vodka-and-cranberry duo is still the preferred pair at most bars today. You, of course, can use whichever citrus-flavored vodka and cranberry juice you like.","Add citron vodka, cointreau, lime juice and cranberry jucie into a cocktail shaker | Add ice and shake approx. 15 times | Double strain into a cocktail glass | Garnish with an orange peel and enjoy",,
23,Daiquiri,"The Daiquiri is simple and sublime, a delicate blend of rum’s sweetness with the raw freshness of sugar and lime juice. Whole lives have been dedicated to balancing those three elements. That each ingredient should be of the highest quality goes without saying, though even then the Daiquiri can throw you a curve. Choose an overly sweet rum or use too much sugar, and you’re left sipping liquid candy; overdo the citrus, and the cocktail drowns in a puckering pool of acidity.","Add white rum, lime juice and sugar syrup to a cocktail shaker | Add ice and shake approx. 15 times | Double strain into a cocktail glass and enjoy",,
24,French Martini,"The French Martini helped to kick off the flavored Martini craze of the 1990s. Featuring vodka, pineapple juice and Chambord, the cocktail was first brought to prominence in NYC restaurateur Keith McNally’s Balthazar after the drink made its debut at another one of his establishments during the late-1980s. The cocktail is emblematic of the era’s preference for fruity and sweet drinks, especially those with Martini in the name, or anything appended with a ’Tini suffix","Add vodka, chambord and pineapple juice to a cocktail shaker | Add ice and shake very hard approx. 15 times | double strain into a chilled coupe glass | Garnish with a skewered raspberry",,
25,Tom Collins,"Tom Collins, a classic cocktail featuring gin, lemon juice, simple syrup and club soda. The refreshing drink tastes like a spiked sparkling lemonade and is equipped with all you need to cool down on a hot day.","Add ice to a glass | Pour the gin, lemon juice and sugar syrup | Stir gently to mix the ingredients | Top with soda water | Garnish with a lemon wedge and enjoy",,
26,Long Island Iced Tea,"The Long Island Iced Tea is an extremely boozy drink and not one to take lightly. Holding in a total of 5 different spirits with a dash of coke and lemon juice, this drink will turn you into one hot mess. Perfect for frat or house parties if your goal is to get completely smashed.","Add vodka, white rum, gin, tequila, cointreau, lemon juice and sugar syrup into a cocktail shaker | Add ice and shake approx. 15 times | Add ice into a tall glass and strain the cocktail into the glass | Top the drink with a splash of coca cola | Garnish with a lemon wedge and get absolutely wasted",,
27,Dry Martini,"The Dry Martini took its current form around 1905, when the new order of the day was dry gin, dry vermouth and perhaps a dash of orange bitters for good measure. A strong and classy drink. Vodka is acceptable in a martini in lieu of gin if preferred",Add gin/vodka and dry vermouth into a mixing glass | Add ice to the top and stir continuously | Strain into a chilled martini glass | Garnish with choice of olives or a lemon twist,,
28,Dirtini Martini,"Similar to the dry martini, the dirty martini consists of dry gin, dry vermouth but now with the addition of olive brine. The name dirty comes from the added olive brine which makes the drink look dirty. The more olive brine you add, the dirtier the drink becomes until it becomes absolutely filthy.","Add gin/vodka, dry vermouth and olive brine into a mixing glass | Add ice to the top and stir continuously | Strain into a chilled martini glass | Garnish with olives",,
29,Margarita,"The Margarita is one of the most popular cocktails in North America—for good reason. Combining the tang of lime and the sweetness of orange liqueur with the distinctive strength of tequila, the classic Margarita strikes all of the right keys. ","Add tequila, cointreau, lime juice and sugar syrup to a cocktail shaker | Add ice and shake approx 15. times | Rim the edge of a chilled margarita glass with salt | Double strain the cocktail into the glass and enjoy",,
30,Manhattan,"Amazingly, the drink that socialites tipped to their lips in the 19th century looks and tastes pretty much the same as the one served today at any decent cocktail bar. The Manhattan’s mix of American whiskey and Italian vermouth, enlivened with a few dashes of aromatic bitters, is timeless and tasty—the very definition of what a cocktail should be. Rye's spicier, edgier profile makes it a better choice in this cocktail than bourbon, but really, you can go with whichever you prefer. And while Angostura bitters are a must in any variation, a single dash of orange bitters helps brighten the cocktail’s edges, bringing the whiskey and vermouth together seamlessly, while the brandied cherry garnish lends a touch of sweetness.","Add bitters, Sweet Vermouth and bourbon into a mixing glass | Add ice to the top and stir continuously | Strain into a chilled coupe | Garnish with a cherry and enjoy",,
31,Amaretto Sour,"The classic recipe of two to one ratio of amaretto and lemon juice makes a fairly sweet drink, but that’s the beauty of it. It tastes great, it’s easy to drink and and it’s very enjoyable. This is a fantastic party drink. It tastes like a dessert that leaves warmth at the back of your throat and elevates your spirit.","Add angostura bitters, amaretto, lemon juice, sugar syrup and egg whites into a cocktail shaker | Shake without ice approx. 15 times | Shake with ice approx. 10 times | Fill a rocks glass with ice and strain the cocktail | Garnish with a cherry and a lemon wedge and enjoy",,
32,Whisky Sour,"Spirit, citrus and sugar—the original big three—combine to form the classic sour, one of the oldest types of cocktails. The category includes the Whiskey Sour, which has sated thirsty drinkers for more than one and a half centuries. The Whiskey Sour was traditionally made with whiskey, lemon juice, sugar and egg white, an ingredient that tames the tart flavor and creates a richer, smoother texture.","Add angostura bitters, bourbon, lemon juice, sugar syrup and egg whites into a cocktail shaker | Shake without ice approx. 15 times | Shake with ice approx. 10 times | Fill a rocks glass with ice and strain the cocktail | Garnish with a cherry and a lemon wedge and enjoy",,
33,Clover Club,"The Clover Club with gin, fresh lemon juice, raspberry syrup and egg white was a favorite among this genteel set. Any high-quality gin can make a great Clover Club, but a good London dry gin will complement the cocktail’s tart fruit and silky body. While egg white is optional in some drinks (and it’s technically optional in this one, too) its role is important, adding texture and yielding a luscious, foamy head when shaken and strained.","Add Raspberry Puree, gin, lemon juice and egg whites to a cocktail shaker | Shake without ice approx. 15 times | Shake with ice approx. 15 times | Double strain into a cocktail glass | Garnish with rasperries and enjoy",,
34,Bramble,"Perfectly poised between fruity, sour, sweet and boozy - expect an adventure in a glass. The Bramble is a blackberry-based cocktail that’s rather simple to make and is nicely balanced in its sweet and sour tones.","Add gin, lemon juice and sugar syrup to a cocktail shaker | Shake with ice approx. 15 times | Fill Rocks glass with cubed ice and strain cocktail | Top off with crushed ice | Gently pour the creme de mure on top of the crushed ice and let it float over the rest of the cocktail | Garnish with blackberries and a lemon wedge and serve with a straw",,
35,Mojito,"The Mojito is slightly more labor-intensive than other cocktails because it involves muddling the mint, but the end result is worth the effort. The mint combines with the other ingredients for an extra dose of refreshment that, while often associated with summer, can be enjoyed any time of the year",Add sugar syrup and limes into a tall glass | Muddle the limes | Smash the mint leaves in between your hands and add it into the glass | Add in the light rum | Add crushed ice and churn the drink until you have mint leaves and lime wedges sitting throughout the drink | Top off with extra crushed ice and top off with soda water | Garnish with a mint sprig and a straw,,
36,Mint Julep,"The Mint Julep is traditionally served in a rocks glass or, ideally, in a silver julep cup. Since bourbon is the only liquid in the drink, you’ll want to use a high-quality bottle that you know you love. A slightly higher-proof bourbon—something in the mid-80s or around 90—will keep the crushed ice from diluting the cocktail too quickly",Soak sugar/ a sugar cube in angostura bitters and muddle in a julep tin with a bit of soda water | Smash mint leaves in your hands and add it to the glass | Add your bourbon to the glass | Fill the glass with crushed ice and churn the contents until the mint is dispered throughout the drink | Garnish with a mint sprig and a straw,,
37,Gin Basil Smash,"The Gin Basil Smash is a modern classic cocktail that’s refreshing, delicious, and so easy to make at home! This simple gin cocktail uses just four ingredients, and you can find them at the store any time of year. The bright and herbaceous flavors of fresh basil and lemon make the Gin Basil Smash an especially great cocktail for spring and summer. And the vibrant green color is a welcome departure from the reds and browns of the most common, easy classic cocktails.","Add Basil leaves, gin, lemon juice and sugar syrup to a cocktail shaker | Shake with ice approx 15. times | Double strain into a rocks glass and fill with ice | Garnish with a basil leaf and enjoy",,
38,Southside,"The Southside cocktail is an easy and refreshing gin drink made with mint, lemon and lime: think of it like a gin mojito!  It’s minty, fresh, and botanical, made with lemon, lime, and gin. It’s sweetened just enough: crisp, cool and refreshing. It’s perfect for sipping on a cocktail night with friends, or an afternoon cocktail on the patio.","Add mint leaves, gin, lemon juice and sugar syrup to a cocktail shaker | Shake with ice approx 15. times | Double strain into a coupe | Garnish with a mint leaf and enjoy",,
39,B52,"The B-52 is a popular, eye-catching shot composed of three liqueurs: Baileys Irish cream, Grand Marnier and coffee liqueur. The drink’s origin is not completely clear, but rather than being named for the 1950s-built B-52 bomber, it is believed to have originated during the 1970s by a bartender and fan of the iconic band The B-52s.","In a 60mL (2 oz.) shot glass, add the kahlua, ensuring it does not get on the sides of the glass | Using the back of a spoon, place the tip on the surface of the kahlua and slowly pour the baileys ontop of the spoon to get a layered effect | Do the same but with cointreau last",,
40,Pornstar Martini,"The Pornstar Martini is a refreshing passion fruit cocktail made with vanilla vodka, Passoa and lime juice served with a shot of Prosecco or Champagne on the side. This seductive flavoured martini is probably notorious thanks to its risqué, name. Whatever the name, this passion fruit cocktail served with a shot of Prosecco on the side is both super delicious and photogenic!","Add vodka, passionfruit liqueur, passionfruit puree, lime juice and vanilla syrup into a cocktail shaker | Shake with ice approx. 15 times | Double strain into a chilled coupe | Garnish with half a passionfruit | Pour champagne/prosecco into a shotglass on the side and enjoy",,
41,Bellini,"Bellini is an Italian classic. The original recipe came from Venice and was simply two parts Prosecco (Italian sparkling wine) to one part white peach puree with a touch of raspberry or cherry juice. It’s light and delicate, and goes with almost anything. It’s an ideal brunch drink, but it’s just as delicious served at a dinner party as a light drink guests can enjoy with appetizers or finger foods.",Add Peach Puree and Peach liqueur to a champagne flute | Pour in prosecco/champagne into the glass | Gently bring the syrup and puree upwards using a spoon to gently mix the liquids together,,
42,French 75,"The iconic celebratory cocktail that scintillates in the glass and packs a hidden punch. The French 75 is a cocktail held in such high esteem that it falls easily, though with the elegance and grace one would expect of a high-society French Madame, into the realm of a classic cocktail.","Add gin, lemon juice and sugar syrup into a cocktail shaker | Shake with ice approx. 15 times | Double strain into a champagne flute | Top the glass with prosecco/champagne | Garnish with a lemon twist",,
43,Old Fashioned,"The old-fashioned is one of the best ways to dress up your favorite whiskey without significantly altering the taste. If you're a traditionalist, you might prefer rye whiskey. The bourbon old-fashioned is a popular choice as well; it was the go-to style of whiskey for this iconic drink for years. Whichever whiskey you pour, the sweet, bitter, and fruit flavors added to the glass will enhance it nicely.",Soak a sugar cube in angostura bitters and muddle in a mixing glass with some soda water | Add in the bourbon and stir continuously with ice | Strain into a rocks glass and serve with a large ice cube if possible | Garnish with an orange peel,,
44,Dark & Stormy,"The Dark & Stormy is one of those drinks that caters to all tastes. A simple but beautiful mixture of sweet, mellow rum, spicy ginger beer and zingy lime, finished with the Caribbean spice of Angostura bitters, this is more than just a rum and ginger beer.","Add ice to a glass | Add lime juice and fill with ginger beer | Gently pour dark rum over top | Garnish with a lime wedge ",,
45,White Lady,"The White Lady cocktail! It’s a classic sour featuring gin and lemon with a frothy egg white topping. This 1920’s style sour is clear and crisp, with a refreshing flavor and a frothy egg white foam topping. It’s super classy, perfect for a cocktail night or just sipping on the porch. Alex and I have been working our way through great cocktails, and this is one is a standout.","Add gin, cointreau, lemon juice and sugar syrup into a cocktail shaker | Shake without ice approx. 15 times  | Shake with ice approx. 15 times | Double strain into a chilled coupe | Garnish with a lemon twist",,
46,Aviation,"The aviation cocktail is a fantastic classic cocktail with a long and rocky past. It is a stunning cocktail to look at and the most popular recipe to feature crème de violette. The floral taste is also captivating, and in a true old-fashioned style, it requires just a few ingredients. The combination of gin, cherry, violets, and lemon offers a fascinating flavor that is unique in the cocktail world.","Add gin, maraschino, lemon juice and sugar syrup to a cocktail shaker | Shake with ice approx. 15 times | Double strain into a chilled coupe | Garnish with a cherry and enjoy",,
47,Negroni,"Designed as an aperitif, the Classic Negroni is the very definition of balance. This ruby red Italian charmer is now popping up everywhere, having made its return to the mainstream in mid-2015. While the Negroni may look sweet, it’s anything but – it’s strong, bitter notes are what Negroni nerds revere about the concoction; there’s no syrup masking anything here. Drink it before a good meal, not just because it is the very definition of an Aperitivo cocktail but because a gin, vermouth and bitters is a booze layered on booze combination that would have sunk Henry VIII.","Add gin, sweet vermouth and campari into a mixing glass | Add ice and stir continuously | Strain into a rocks glass | Add a large ice if possible | Garnish with an orange peel",,
48,Boulevardier,"The boulevardier is bittersweet, warming, and spicy, an Italian villa in the snowy Colorado Rockies. It tastes the way illustrations in a 100-year-old book look. It tastes like old leather feels or how whispered confessions of love sound. Drinking one feels like floating around in a lava lamp filled with sweet cherries, bittersweet orange peels, and dried stone fruit.","Add rye, sweet vermouth and campari into a mixing glass | Add ice and stir continuously | Strain into a rocks glass | Add a large ice if possible | Garnish with an orange peel",,
49,Aperol Spritz,"Aperol Spritz, the iconic orange drink. Its unmistakable orange and fresh bittersweet taste light up your toasts and add extra joy to the moment. Everything else is brought to the table by the inner lighthearted spirit of Aperol Spritz which spontaneously gather people together and sparks nothing but good vibes.","Add aperol and prosecco to a wine glass | Add ice | Top with soda water | Garnish with an orange slice and a straw ",,
50,Mimosa,"Mimosas are a delicious combination of sparkling wine, and orange juice. They are simple, fun, and perfect to serve to company. Read on to see our tips for making them best including the right ratio and best wine to buy. The perfect brunch drink",Add equal parts orange juice and champagne into a flute | Enjoy your brunch,,
51,Espresso Martini,"Espresso Martini is what you make for after dinner drinks, or when you need a pick-me-up but don’t want to fall behind the pack on a night out with your mates! Dangerously drinkable with a good slog of liquor, this coffee cocktail is made with espresso, vodka and Kahlua.","Add vodka, kahlua, coffee and sugar syrup to a cocktail shaker | Shake with ice approx. 15 times | Double strain into a chilled coupe | Garnish with 3 coffee beans and enjoy",,
52,Grasshopper,"The Grasshopper is a green blast from the past featuring green creme de menthe, white creme de cacao and heavy cream. Creme de menthe is a liqueur made by adding mint leaves or extract to neutral alcohol, after which it’s filtered, sweetened, lightly aged and bottled. And white creme de cacao is a sweet, chocolate-flavored liqueur with a buttery mouthfeel.","Add creme de menthe, white cacao liqueur and milk to a cocktail shaker | Shake with ice approx. 15 times | Double strain into a chileld coupe | Enjoy your drink",,
53,Pina Colada,"One of the world’s most popular summer cocktails, the Piña Colada tastes refreshing and sweet. It´s super easy to make and perfect to enjoy with friends. It’s no surprise why it’s a favorite in beach bars everywhere!","Add white rum, coconut liqeur, lime juice, pineapple juice and coconut cream to a cocktail shaker | Shake with ice approx. 15 times | Strain into a hurricane glass | Add ice | Garnish with a pineapple wedge and a cherry and enjoy",,
54,Lemon Lime and Bitters,A loved drink by all people and much more superior to lemonade. This drink survived the prohibition and is still a very popular drink today. Refreshing and carbonated.,"Add bitters, lime juice to a glass | Add ice to the glass and top with lemonade or soda water for a healthier option | Garnish with a lemon and enjoy",,
